From the Audobon Societal Report on Bird Migration - http://web4.audubon.org/bird/bacc/techreport.html as reported on by the EPA,,,,,,,,,,,,,,,,,,,
"List of 305 species included in the analysis, along with their habitat guild classification, latitudinal distances moved, change in average distance from the coast, and continental population trend estimates.",,,,,,,,,,,,,,,,,,,
Species,Scientific_name,Habitat Guild (3 classes),Habitat Guild (5 classes),Feeder use,Mean latitude (40-year ave from regression),Latitudinal distance moved (miles),Lat. direction moved,F-value latitude slope,p-value slope,Mean dist. from coast (40-yr ave. from regression),Change in mean dist. from coast (miles),Shifted inland or to coast,F-value slope dist. to coast,p-value slope dist. to coast,# state or province strata,40-year Median Trend (% change per year),95% LCI Trend,95% UCI Trend,% of hemispheric range in CBC survey area
Bald Eagle,Haliaeetus leucocephalus,wetland/aquatic,wetland/aquatic,rarely/never,47.83,-47.1,S,21.22,<0.0001,340.4,74.2,inland,174.55,<0.0001,55,6,5.5,6.4,89.7
Northern Harrier,Circus cyaneus,land-based,grassland,rarely/never,37.15,76.8,N,51.66,<0.0001,392,-14.4,to coast,2.77,0.1046,55,0.1,-0.1,0.4,71.6
Sharp-shinned Hawk,Accipiter striatus,land-based,woodland,regularly,38.74,37.6,N,13.99,0.0006,323.4,57,inland,62.14,<0.0001,54,3,2.8,3.3,47.2
Cooper's Hawk,Accipiter cooperii,land-based,woodland,regularly,38.46,-3,S,0.53,0.4709,340.5,21.7,inland,83.71,<0.0001,53,3.6,3.4,3.9,76.1
Northern Goshawk,Accipiter gentilis,land-based,woodland,occasionally,45.99,71.9,N,91.92,<0.0001,524.2,8.1,inland,0.32,0.5743,49,-0.08,-0.6,0.4,54.4
Red-shouldered Hawk,Buteo lineatus,land-based,woodland,rarely/never,33.17,76.2,N,361.3,<0.0001,170.5,25.7,inland,60.31,<0.0001,40,3,2.7,3.2,82.9
Red-tailed Hawk,Buteo jamaicensis,land-based,woodland,rarely/never,37.86,82.4,N,117.81,<0.0001,380.9,60.5,inland,95.88,<0.0001,55,2.4,2.3,2.6,75.2
Ferruginous Hawk,Buteo regalis,land-based,grassland,rarely/never,36.81,62.8,N,71.53,<0.0001,487.3,31.7,inland,18.19,0.0001,18,1.9,1.1,2.6,71
Rough-legged Hawk,Buteo lagopus,land-based,grassland,rarely/never,42.88,178.7,N,308.62,<0.0001,575,102.4,inland,90.55,<0.0001,54,-0.06,-0.7,0.5,98.2
Golden Eagle,Aquila chrysaetos,land-based,grassland,rarely/never,41.33,58.3,N,218.21,<0.0001,584.8,17.4,inland,28.17,<0.0001,46,-0.2,-0.7,0.3,78.4
American Kestrel,Falco sparverius,land-based,grassland,rarely/never,36.4,54.5,N,79.79,<0.0001,345,105.7,inland,530.51,<0.0001,55,0.3,0.1,0.5,32.3
Merlin,Falco columbarius,land-based,woodland,occasionally,42.32,-81.5,S,139.91,<0.0001,382.6,-18.1,to coast,20.97,<0.0001,55,3.3,2.9,3.6,46.4
Gyrfalcon,Falco rusticolus,land-based,grassland,rarely/never,48.92,-80.2,S,30.88,<0.0001,488.5,121.1,inland,136.47,<0.0001,21,2.9,-0.5,4.5,43.3
Peregrine Falcon,Falco peregrinus,land-based,generalist,rarely/never,40.87,-189.6,S,373.72,<0.0001,249,-58.3,to coast,137.31,<0.0001,53,4.9,4.2,5.5,13.3
Prairie Falcon,Falco mexicanus,land-based,grassland,rarely/never,40.37,5.8,N,1.01,0.3207,506.7,-11.3,to coast,4.02,0.0523,25,0.9,0.4,1.4,78.6
Black Rail,Laterallus jamaicensis,wetland/aquatic,wetland/aquatic,rarely/never,34.17,64.3,N,81.56,<0.0001,227.9,24,inland,15.32,0.0004,6,1.6,-1.6,4.4,45
Clapper Rail,Rallus longirostris,wetland/aquatic,wetland/aquatic,rarely/never,32.66,27.8,N,61.19,<0.0001,128,14.7,inland,321.16,<0.0001,15,0.6,-1,2,22.7
King Rail,Rallus elegans,wetland/aquatic,wetland/aquatic,rarely/never,31.26,14.3,N,42.74,<0.0001,112.2,-29.7,to coast,129.62,<0.0001,13,-2.69,-4.5,-1.1,68.7
Virginia Rail,Rallus limicola,wetland/aquatic,wetland/aquatic,rarely/never,38.43,231.6,N,952.96,<0.0001,243.5,63.9,inland,162.57,<0.0001,37,3,2.1,3.7,45.8
Sora,Porzana carolina,wetland/aquatic,wetland/aquatic,rarely/never,33.69,130.7,N,106.66,<0.0001,191.1,53.7,inland,150.54,<0.0001,32,1,0.3,1.8,23.4
Common Moorhen,Gallinula chloropus,wetland/aquatic,wetland/aquatic,rarely/never,30.5,-75.7,S,28.97,<0.0001,76.8,-26,to coast,14.55,0.0005,20,2.4,0.1,3.4,9.8
American Coot,Fulica americana,wetland/aquatic,wetland/aquatic,rarely/never,35.52,12.4,N,0.79,0.3795,182.7,67.2,inland,313.42,<0.0001,49,-0.05,-0.9,0.8,63.6
Sandhill Crane,Grus canadensis,wetland/aquatic,wetland/aquatic,rarely/never,32.02,37.8,N,6.18,0.0174,307,36.3,inland,11.2,0.0018,35,4.5,2.7,6.1,68.5
Black-bellied Plover,Pluvialis squatarola,coastal,coastal,rarely/never,35.42,114.2,N,95.79,<0.0001,,,,,,20,-0.22,-1.2,1.2,29.8
Snowy Plover,Charadrius alexandrinus,wetland/aquatic,wetland/aquatic,rarely/never,35.2,-66.5,S,28.89,<0.0001,160.8,16.2,inland,276.77,<0.0001,6,0.2,-1.3,1.4,34.5
Semipalmated Plover,Charadrius semipalmatus,coastal,coastal,rarely/never,31.59,90.1,N,713.86,<0.0001,,,,,,18,1.7,0.2,4.5,26
Piping Plover,Charadrius melodus,coastal,coastal,rarely/never,32.14,1.3,N,0.05,0.8319,,,,,,10,-2.03,-4,-0.4,77.5
Killdeer,Charadrius vociferus,land-based,generalist,rarely/never,33.77,-78,S,59.58,<0.0001,177.3,-14.3,to coast,12.48,0.0011,50,-0.14,-0.6,0.3,60.4
American Oystercatcher,Haematopus palliatus,coastal,coastal,rarely/never,33.07,0.2,N,0.01,0.9305,,,,,,12,2.3,0.7,3.6,24.4
Black-necked Stilt,Himantopus mexicanus,wetland/aquatic,wetland/aquatic,rarely/never,32.66,-70.6,S,67.81,<0.0001,114.5,15.4,inland,23.36,<0.0001,5,11.8,9,14.9,3.2
American Avocet,Recurvirostra americana,wetland/aquatic,wetland/aquatic,rarely/never,33.74,12.7,N,2.12,0.1532,158.9,10.7,inland,17.99,0.0001,12,1.7,-0.6,3.9,18.2
Spotted Sandpiper,Actitis macularius,wetland/aquatic,wetland/aquatic,rarely/never,33.38,-34.3,S,25.39,<0.0001,184.3,22.2,inland,153.75,<0.0001,30,0.9,0.5,1.4,6.3
Greater Yellowlegs,Tringa melanoleuca,wetland/aquatic,wetland/aquatic,rarely/never,33.2,124.1,N,481.69,<0.0001,168.8,38.3,inland,168.46,<0.0001,33,3,2.4,3.7,5.1
Willet,Tringa semipalmata,wetland/aquatic,wetland/aquatic,rarely/never,33.06,-67.2,S,294.49,<0.0001,114.8,8.4,inland,34.31,<0.0001,15,-0.11,-1.1,0.8,34.5
Lesser Yellowlegs,Tringa flavipes,wetland/aquatic,wetland/aquatic,rarely/never,30.83,45,N,293.86,<0.0001,121.1,41.2,inland,344.33,<0.0001,26,-0.37,-1.7,0.7,3.1
Whimbrel,Numenius phaeopus,coastal,coastal,rarely/never,36.51,-121.8,S,92.99,<0.0001,,,,,,12,-1.22,-4.4,0.6,16
Marbled Godwit,Limosa fedoa,wetland/aquatic,wetland/aquatic,rarely/never,36.31,-69.6,S,233.16,<0.0001,134.5,14,inland,214.03,<0.0001,12,0.3,-0.9,1.8,53.6
Ruddy Turnstone,Arenaria interpres,coastal,coastal,rarely/never,30.95,17.1,N,27.5,<0.0001,,,,,,19,0.9,0.1,2,4.7
Black Turnstone,Arenaria melanocephala,coastal,coastal,rarely/never,48.4,177.7,N,96.82,<0.0001,,,,,,5,1,-0.5,2.5,16.4
Surfbird,Aphriza virgata,coastal,coastal,rarely/never,45.14,61.1,N,5.1,0.0298,,,,,,5,-0.23,-3,2.3,19
Red Knot,Calidris canutus,coastal,coastal,rarely/never,32.03,97.2,N,29.13,<0.0001,,,,,,17,0.1,-9.1,5.5,12.2
Sanderling,Calidris alba,coastal,coastal,rarely/never,37.55,-168.8,S,407.61,<0.0001,,,,,,21,-1.19,-3.1,0,13.9
Least Sandpiper,Calidris minutilla,wetland/aquatic,wetland/aquatic,rarely/never,34.22,57.4,N,9.08,0.0046,166.1,0.3,inland,0,0.9646,30,-0.22,-1.2,0.9,21.1
Purple Sandpiper,Calidris maritima,coastal,coastal,rarely/never,45.18,-48.5,S,211.51,<0.0001,,,,,,16,-1.79,-6.9,1.6,78.7
Rock Sandpiper,Calidris ptilocnemis,coastal,coastal,rarely/never,58.59,93.9,N,67.13,<0.0001,,,,,,5,-0.57,-4.8,3.7,31.1
Dunlin,Calidris alpina,wetland/aquatic,wetland/aquatic,rarely/never,43.87,71.1,N,20.25,<0.0001,116.1,9.1,inland,195.28,<0.0001,35,-0.78,-2.3,0.8,23.4
Short-billed Dowitcher,Limnodromus griseus,coastal,coastal,rarely/never,31.66,147.7,N,58.64,<0.0001,,,,,,11,3.3,-0.5,8.2,8.1
